Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Original Name
ALL,ALLSTATE CORPORATION (THE),ALL,26.54,ALLSTATE DEP REPSTG TH NON CUM PE,0.34,47372095.28,ALLSTATE DEP REPSTG TH NON CUM PE
APO,APOLLO GLOBAL MANAGEMENT,APO,26.33,APOLLO GLOBAL MANAGEMENT INC,0.34,46862739.59,APOLLO GLOBAL MANAGEMENT INC
KEY,KEYCORP,KEY,25.3,KEYCORP,0.33,45158779.6,KEYCORP
DTE,DTE ENERGY,DTE,24.91,DTE ENERGY COMPANY,0.32,44462656.12,DTE ENERGY COMPANY
CMS,CMS ENERGY,CMS,23.89,CMS ENERGY CORPORATION,0.32,44774422.99,CMS ENERGY CORPORATION
KKR,KKR &,KKR,25.28,KKR & CO INC,0.32,44373908.16,KKR & CO INC
BAC,BANK OF AMERICA,BAC,17.51,BANK OF AMERICA CORP,0.32,44334619.6,BANK OF AMERICA CORP
SYF,SYNCHRONY FINANCIAL,SYF,19.73,SYNCHRONY FINANCIAL,0.32,43897296.73,SYNCHRONY FINANCIAL
GS,GOLDMAN SACHS GROUP,GS,20.18,GOLDMAN SACHS GROUP INC,0.32,44894121.64,GOLDMAN SACHS GROUP INC
CRBG,COREBRIDGE FINANCIAL,CRBG,23.9,COREBRIDGE FINANCIAL INC,0.31,42537769.7,COREBRIDGE FINANCIAL INC
WFC,WELLS FARGO & COMPANY SERIES L,WFC,24.18,WELLS FARGO & COMPANY,0.31,43526683.98,WELLS FARGO & COMPANY
ATH,ATHENE HOLDING DS REPRESENTING P,ATH,25.27,ATHENE HOLDING LTD,0.31,43228226.58,ATHENE HOLDING LTD
JXN,JACKSON FINANCIAL,JXN,26.22,JACKSON FINANCIAL INC,0.31,42998125.56,JACKSON FINANCIAL INC
SO,SOUTHERN COMPANY (THE),SO,25.78,SOUTHERN COMPANY (THE),0.31,43333060.62,SOUTHERN COMPANY (THE)
AGNC,AGNC INVESTMENT,AGNC,25.04,AGNC INVESTMENT CORP,0.31,42834801.2,AGNC INVESTMENT CORP
CHSINC,CHS CUMULATIVE REDEEMABLE PREF CLA,CHSINC,26.39,CHS CUMULATIVE REDEEMABLE PREF CLA,0.3,42120472.03,CHS CUMULATIVE REDEEMABLE PREF CLA
TDS,TELEPHONE AND DATA SYSTEMS,TDS,20.14,TELEPHONE AND DATA SYSTEMS INC,0.3,41341096.04,TELEPHONE AND DATA SYSTEMS INC
EIX,SCE TRUST VII,EIX,25.04,SCE TRUST VII,0.3,40971374.48,SCE TRUST VII
BAC,BANK OF AMERICA,BAC,24.86,BANK OF AMERICA DEP REPRESENTING,0.3,41268818.14,BANK OF AMERICA DEP REPRESENTING
