Base Ticker,Company Name,Preferred Stock,Last Price,Full Name,Weight (%),Market Value,Quantity,Original Name
RNR,RENAISSANCERE HOLDINGS LTD,RNR-F,21.15,RenaissanceRE Holdings,0.11,"15,097,250.70","713,818.00",RENAISSANCERE HOLDINGS LTD
SF,STIFEL FINANCIAL CORP,SF-C,23.49,Stifel Financial Corp,0.11,"15,089,976.00","642,400.00",STIFEL FINANCIAL CORP
CIM,CHIMERA INVESTMENT CORP,CIM-C,20.19,Chimera Investment,0.11,"14,989,324.99","742,417.00",CHIMERA INVESTMENT CORP
BRBRPH,BROOKFIELD BRP HOLDINGS (CANADA) I,BEPH,14.94,Brookfield BRP Holdings,0.11,"14,926,250.24","997,744.00",BROOKFIELD BRP HOLDINGS (CANADA) I
SF,STIFEL FINANCIAL CORP,SF-D,17.33,Stifel Financial Corp,0.11,"14,844,878.00","856,600.00",STIFEL FINANCIAL CORP
VNO,VORNADO REALTY TRUST,VNO-M,16.1,Vornado Realty Trust,0.11,"14,688,078.30","912,303.00",VORNADO REALTY TRUST
BAC,BANK OF AMERICA CORPORATION PFD 1,BML-L,19.63,Bank of America,0.11,"14,515,933.51","739,477.00",BANK OF AMERICA CORPORATION PFD 1
NSA,NATIONAL STORAGE AFFILIATES REDEEM,NSA-A,22.5,National Storage Affiliates,0.11,"14,514,322.50","645,081.00",NATIONAL STORAGE AFFILIATES REDEEM
WAFD,WASHINGTON FEDERAL INC,WAFDP,16.63,Washington Federal,0.11,"14,468,266.30","870,010.00",WASHINGTON FEDERAL INC
DBRG,DIGITALBRIDGE GROUP INC,DBRG-J,17.33,DigitalBridge,0.11,"14,351,012.54","828,260.00",DIGITALBRIDGE GROUP INC
VNO,VORNADO REALTY TRUST 5.4% CUM RED,VNO-L,16.72,Vornado Realty Trust,0.11,"14,322,368.72","856,601.00",VORNADO REALTY TRUST 5.4% CUM RED
OAK,OAKTREE CAPITAL GROUP LLC,OAK-B,20.9,Oaktree Capital,0.1,"14,023,711.90","670,991.00",OAKTREE CAPITAL GROUP LLC
EQH,EQUITABLE HOLDINGS INC,EQH-C,16.1,Equitable Holdings,0.1,"14,007,161.00","870,010.00",EQUITABLE HOLDINGS INC
FITB,FIFTH THIRD BANCORP,FITBO,19.55,Fifth Third Bancorp,0.1,"13,955,298.30","713,826.00",FIFTH THIRD BANCORP
SLG,SL GREEN REALTY CORP,SLG-I,21.22,SL Green,0.1,"13,936,468.42","656,761.00",SL GREEN REALTY CORP
VNO,VORNADO REALTY TRUST,VNO-N,16.2,Vornado Realty Trust,0.1,"13,876,936.20","856,601.00",VORNADO REALTY TRUST
WRB,WR BERKLEY CORPORATION,WRB-H,15.95,WR Berkley,0.1,"13,662,770.00","856,600.00",WR BERKLEY CORPORATION
PSA,PUBLIC STORAGE DEP SHS REPSTG TH,PSA-J,18.3,Public Storage,0.1,"13,520,186.40","738,808.00",PUBLIC STORAGE DEP SHS REPSTG TH
DLR,DIGITAL REALTY TRUST INC,DLR-K,22.37,Digital Realty Trust,0.1,"13,414,013.91","599,643.00",DIGITAL REALTY TRUST INC
RITM,RITHM CAPITAL CORP,RITM-E,24.3,Rithm Capital ,0.1,"13,198,185.52","542,577.00",RITHM CAPITAL CORP
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,PMT-C,17.71,PennyMac Mortgage,0.09,"12,641,734.49","713,819.00",PENNYMAC MORTGAGE INVESTMENT TRUST
CIM,CHIMERA INVESTMENT CORP,CIM-D,22.13,Chimera Investment,0.09,"12,637,048.81","571,037.00",CHIMERA INVESTMENT CORP
PMT,PENNYMAC MORTGAGE INVESTMENT TRUST,PMT-B,22.67,PennyMac Mortgage,0.09,"12,622,996.05","556,815.00",PENNYMAC MORTGAGE INVESTMENT TRUST
AHL,ASPEN INSURANCE HOLDINGS LTD,AHL-D,20.91,Aspen Insurance Holdings,0.09,"12,572,977.77","601,434.00",ASPEN INSURANCE HOLDINGS LTD
BOH,BANK OF HAWAII CORP,BOH-B,26.26,Bank of Hawaii,0.09,"12,565,094.88","478,488.00",BANK OF HAWAII CORP
KIM,KIMCO REALTY CORPORATION,KIM-L,19.66,Kimco Realty,0.09,"12,493,182.92","635,462.00",KIMCO REALTY CORPORATION
VNO,VORNADO REALTY TRUST,VNO-O,14.47,Vornado Realty Trust,0.09,"12,394,784.95","856,585.00",VORNADO REALTY TRUST
